"region","reg","regov","nofedgov","edu","norepgov","elect","repower","sharia","biz","equota","privrep","privfed","tension","disrep","age","income","male","urban","nocitizen","means","native","fedrite","fedimpact","fedcorr","muslim","ritual","quran","relstate","imptnce","reledu","sharia2","incomesq","Total.victims","Unemployment","av.salary"
1,"n ossetia",3,3,2,2.416,4,2.328,1.28,1,0.344,2.52,2.32,1.864,3,6,3,1,1,2,0.24,1,3,3,5,0,3,2,1,3,1,1,9,77,3.1,9342.6
1,"n ossetia",1.552845528,1.845528455,5,3.113821138,1.552845528,1,1,4,0.430894309,1,3.162601626,2.593495935,3.154471545,1,2,1,0,1,0,1,3.853658537,3,5,0,4,4,9,2.601626016,3,1,4,77,3.1,9342.6
1,"n ossetia",4,1,6,3,3.755555556,3,4,3,1,4,4,1,4,6,2,0,1,2,0.303703704,1,4,4,5,0,2,5,4,2,3,4,4,77,3.1,9342.6
1,"n ossetia",3,2,3,3,3,2.905172414,1.456896552,4,0,2,2,2,4,1,3,1,1,2,0,1,2,1,3,0,3,3,2,2,4,1,9,77,3.1,9342.6
1,"n ossetia",3,1.31147541,6,3,1,4,1,4,1,1,3,2,3,6,5,0,1,1,0,1,4,1,5,0,4,3.765027322,4,4,5,1,25,77,3.1,9342.6
1,"n ossetia",2.537037037,2.185185185,3,3.055555556,3,1,1,4,0.203703704,4,4,1,4,2,1,1,0,1,0,1,4,4,5,0,4,3,1,3,5,1,1,77,3.1,9342.6
1,"n ossetia",3,3,5,3,3,1,1.661202186,4,0.338797814,3,3,1,3,1,4,1,0,1,1,1,4,1,4,0,2,4,1,2,3.207650273,2,16,77,3.1,9342.6
1,"n ossetia",3,3,6,3,4,1,2,5,0,4,4,1,3,4,4,0,1,1,1,1,4,2,2,0,4,4,3,4,4,2,16,77,3.1,9342.6
1,"n ossetia",2,2.25,3,3.026315789,2,4,2,4,0.421052632,2,2,1,3,6,3,0,1,2,0,1,4,2,5,0,3,3.526315789,9,3.013157895,4,2,9,77,3.1,9342.6
1,"n ossetia",2.16,2,5,3.216,1.608,3,1,4,1,2,2,3,3,1,4,0,1,1,0,1,4,3,5,0,3,4,3,2,5,1,16,77,3.1,9342.6
1,"n ossetia",2.528571429,2.3,6,2.8,3,3,1,4,1,2,2,2,3,2,4,0,1,1,0,1,4,3,5,0,3,4,3,3,1,1,16,77,3.1,9342.6
1,"n ossetia",2.518987342,2.17721519,4,2.17721519,3,4,2,4,1,2,2,2,3,4,3,1,0,2,0,1,3,3,5,0,3,4.341772152,9,3.607594937,1,2,9,77,3.1,9342.6
1,"n ossetia",3,2.617977528,4,2.539325843,3,4,1,2,0.741573034,2,2,2,3,6,4,0,1,1,0,1,4,3,5,0,3,4,9,3.337078652,1,1,16,77,3.1,9342.6
1,"n ossetia",3,1.828125,4,1.828125,3,4,1,4,0.859375,2,2,3,4,4,3,0,1,2,0,1,4,3,4,0,9,4,9,3.359375,1,1,9,77,3.1,9342.6
1,"n ossetia",1,2.301282051,5,1.846153846,3,2.108974359,2,4,1,3,3,3,3,1,3,0,1,1,0.128205128,0,2.801282051,1.679487179,3,0,3,4,1,3,1,2,9,77,3.1,9342.6
1,"n ossetia",1,1,3,1,1,1,1.183783784,5,0.637837838,4,4,2.275675676,3.264864865,3,1,1,1,1,0,0,4,1,5,0,9,3.432432432,9,3.637837838,4.448648649,1,1,77,3.1,9342.6
1,"n ossetia",1.730434783,2,5,1.730434783,4,1.695652174,1.347826087,2,0.652173913,1,2,3,4,5,3,0,1,1,0,1,3.826086957,3,3,0,4,2,1,4,5,1,9,77,3.1,9342.6
1,"n ossetia",1.876106195,1.982300885,3,1.982300885,2.938053097,4,1,3.221238938,1,2,2,2,3.203539823,6,3,1,1,1,0.300884956,1,4,3,5,0,3,4,9,3.10619469,4,1,9,77,3.1,9342.6
1,"n ossetia",2,2,4,2.368421053,2,1,1,4,0.105263158,2.833333333,3.219298246,1.815789474,3,1,3,1,1,1,0,1,3.228070175,1.49122807,3,0,2,5,9,2.885964912,3.473684211,1,9,77,3.1,9342.6
1,"n ossetia",1,2,6,2.63671875,4,1,1,4,1,2,3,1,3,3,4,1,1,1,0,0,4,3,5,0,2,5,2,2.27734375,1.76953125,1,16,77,3.1,9342.6
1,"n ossetia",3,2,6,1.59375,1,1,2,3,1,2,2,2,3,2,4,0,1,2,0,0,2,2,3,0,2,3,2,3,1,2,16,77,3.1,9342.6
1,"n ossetia",2,3,6,2,2,3,2,1,0,2,2,2,3,6,3,0,1,1,0,0,2,3,4,0,3,3,2,3,1,2,9,77,3.1,9342.6
1,"n ossetia",2.127118644,2,5,3,2.440677966,3,2,3,0.254237288,3,3,2,3,2,4,0,1,2,0,1,3,3,3,0,3,4,1,2,2,2,16,77,3.1,9342.6
1,"n ossetia",2.330357143,2,6,2,3,3,2,5,1,3,4,2,2,3,4,1,1,1,0,1,4,3,5,0,2,4,1,2,2,2,16,77,3.1,9342.6
